audit_id,stratum,title,abstract,authors,year,publication_date,venue,doi,arxiv_id,url,record_type,sources,query_labels,source_status,original_exclusion_reason,reviewer_a_decision,reviewer_a_corpus_type,reviewer_a_reason_code,reviewer_a_rationale,reviewer_b_decision,reviewer_b_corpus_type,reviewer_b_reason_code,reviewer_b_rationale,final_decision,final_corpus_type,final_reason_code,resolution_route,adjudication_rationale,qc_decision,qc_corpus_type,qc_reason_code,qc_rationale,full_text_anchor,confidence
AUD-1c5d8413e95f,phrase_absent_random,The Gambia,,,2020,2020,World Tariff Profiles,10.30875/34c60994-en,,https://doi.org/10.30875/34c60994-en,book-chapter,['crossref'],"['""medical world model""']",registered,world-model phrase absent from title and abstract,exclude,not_applicable,wrong_domain,The country-chapter title provides no indication of a medical dynamics model.,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,wrong_domain,reviewer_consensus,A: This is a trade-policy country chapter unrelated to medical world models. B: This is a country tariff profile outside the medical-world-model domain.,,,,,,
AUD-a7cc87cf05d8,phrase_absent_random,Model Assessment,,,2026,2026,Healthcare Quality Measurement,10.1017/9781009648196.009,,https://doi.org/10.1017/9781009648196.009,book-chapter,['crossref'],"['""healthcare world model""']",registered,world-model phrase absent from title and abstract,uncertain,not_applicable,insufficient_abstract,"The generic title and missing abstract do not permit assessment of domain, dynamics, or evaluation.",uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,review_not_primary,third_full_text_adjudication,"The chapter addresses assessment and fit of conventional healthcare quality and hierarchical statistical models. Its primary topic is statistical model evaluation rather than medical world-model dynamics, simulation, or planning.",,,,,,
AUD-da73d883b73b,phrase_absent_random,An Extended Epidemic Model on Interconnected Networks for COVID-19 to Explore the Epidemic Dynamics,"COVID-19 has resulted in a public health global crisis. The pandemic control necessitates epidemic models that capture the trends and impacts on infectious individuals. Many exciting models can implement this but they lack practical interpretability. This study combines the epidemiological and network theories and proposes a framework with causal interpretability in response to this issue. This framework consists of an extended epidemic model in interconnected networks and a dynamic structure that has major human mobility. The networked causal analysis focuses on the stochastic processing mechanism. It highlights the social infectivity as the intervention estimator between the observable effect (the number of daily new cases) and unobservable causes (the number of infectious persons). According to an experiment on the dataset for Tokyo metropolitan areas, the computational results indicate the propagation features of the symptomatic and asymptomatic infectious persons. These new spatiotemporal findings can be beneficial for policy decision making.","Deng O, Tago K, Jin Q.",2021,2021-04-10,,,,https://europepmc.org/article/PPR/PPR343083,,['europe_pmc'],['europe_pmc_core'],indexed,world-model phrase absent from title and abstract,exclude,empirical,no_learned_dynamics,The proposed network epidemic equations are not described as learned or adapted state-transition dynamics.,include,empirical,include_empirical,Evaluates a dynamic epidemic model on Tokyo data and simulates intervention-relevant propagation.,exclude,not_applicable,hand_specified_epidemic_equations,post_adjudication_inclusion_qc,"The study constructs an extended SEIRAH-style network epidemic simulator through hand-specified compartment equations and topology assumptions. Selecting a network parameter to improve fit to Tokyo observations is limited calibration of a mechanistic model, not learning or substantively adapting the state-transition law required by the frozen boundary.",exclude,not_applicable,hand_specified_epidemic_equations,"The study constructs an extended SEIRAH-style network epidemic simulator through hand-specified compartment equations and topology assumptions. Selecting a network parameter to improve fit to Tokyo observations is limited calibration of a mechanistic model, not learning or substantively adapting the state-transition law required by the frozen boundary.","Full text sections 'Model construction' and 'Model validation and fitting': compartment transitions are explicitly formulated from epidemic assumptions, while parameter p is varied to fit Tokyo case data. https://europepmc.org/article/PPR/PPR343083",high
AUD-2d381c43d614,phrase_absent_random,"Patient Data Privacy, Protected Health Information, and Ethics of Real-World Evidence",,Corinne S. Pillai; Eleanor E. Panico; Kelly H. Zou; Ewa Filipowska,2022,2022,Real-World Evidence in a Patient-Centric Digital Era,10.1201/9781003017523-3,,https://doi.org/10.1201/9781003017523-3,book-chapter,['crossref'],"['""patient world model""', '""world model"" patient']",registered,world-model phrase absent from title and abstract,exclude,review,review_not_primary,The chapter concerns privacy and ethics of evidence rather than medical world-model methods.,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,review_not_primary,third_full_text_adjudication,"The chapter focuses on patient-data privacy, protected health information, and ethics in real-world-evidence research. It is not a review of medical or biomedical world models and contains no eligible dynamics synthesis.",,,,,,
AUD-20aba72fa58e,phrase_absent_random,Indonesia,,,2020,2020,World Tariff Profiles,10.30875/38ed6617-en,,https://doi.org/10.30875/38ed6617-en,book-chapter,['crossref'],"['""medical world model""']",registered,world-model phrase absent from title and abstract,exclude,not_applicable,wrong_domain,The country-chapter title provides no indication of a medical dynamics model.,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,wrong_domain,reviewer_consensus,A: This is a trade-policy country chapter unrelated to medical world models. B: This is a country tariff profile outside the medical-world-model domain.,,,,,,
AUD-041c95e05141,phrase_absent_random,,,,2020,2020,World Journal of Nuclear Medicine,10.1055/s-012-53188,,https://doi.org/10.1055/s-012-53188,journal-issue,['crossref'],"['""world model"" medicine']",registered,world-model phrase absent from title and abstract,uncertain,not_applicable,insufficient_abstract,"Both title and abstract are absent, so eligibility cannot be assessed.",uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,no_primary_empirical_evaluation,third_full_text_adjudication,"The DOI is an issue-level record with no article title, authors, abstract, methods, or results. Blank issue metadata cannot identify an eligible primary study or review.",,,,,,
AUD-50a6df459488,phrase_absent_random,,,,2020,2020,World Journal of Nuclear Medicine,10.1055/s-012-53171,,https://doi.org/10.1055/s-012-53171,journal-issue,['crossref'],"['""world model"" medicine']",registered,world-model phrase absent from title and abstract,uncertain,not_applicable,insufficient_abstract,"Both title and abstract are absent, so eligibility cannot be assessed.",uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,no_primary_empirical_evaluation,third_full_text_adjudication,"The DOI is an issue-level record with no article title, authors, abstract, methods, or results. Blank issue metadata cannot identify an eligible primary study or review.",,,,,,
AUD-09ac7bfff329,phrase_absent_random,,,,2024,2024,Echocardiography,10.1111/echo.v41.5,,https://doi.org/10.1111/echo.v41.5,journal-issue,['crossref'],"['""world model"" echocardiography']",registered,world-model phrase absent from title and abstract,uncertain,not_applicable,insufficient_abstract,"Both title and abstract are absent, so eligibility cannot be assessed.",uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,no_primary_empirical_evaluation,third_full_text_adjudication,"The DOI identifies an Echocardiography journal issue rather than an article and supplies no title, authors, abstract, methods, or results. Blank issue metadata cannot be included.",,,,,,
AUD-06020daee0f4,phrase_absent_random,Prelims,,,2023,2023,World Healthcare Cooperatives: Challenges and Opportunities,10.1108/978-1-80455-774-720231013,,https://doi.org/10.1108/978-1-80455-774-720231013,other,['crossref'],"['""healthcare world model""']",registered,world-model phrase absent from title and abstract,exclude,not_applicable,no_primary_empirical_evaluation,The title denotes front matter rather than a primary empirical study.,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,no_primary_empirical_evaluation,reviewer_consensus,A: This record is book front matter and contains no primary empirical study or eligible review. B: The record is book preliminaries rather than a scholarly empirical study or eligible review.,,,,,,
AUD-1b17af3adfb3,phrase_absent_random,A model for human action potential dynamics in vivo,"Computational modeling based on experimental data remains an important component in cardiac electrophysiological research, especially because clinical data such as human action potential (AP) dynamics are scarce or limited by practical or ethical concerns. Such modeling has been used to develop and test a variety of mechanistic hypotheses, with the majority of these studies involving the rate dependence of AP duration (APD) including APD restitution and conduction velocity (CV). However, there is very little information regarding the complex dynamics at the boundary of repolarization (or refractoriness) and reexcitability. Here, we developed a “minimal” ionic model of the human AP, based on in vivo human monophasic AP (MAP) recordings obtained during clinical programmed electrical stimulation (PES) to address the progressive decrease in AP take-off potential (TOP) and associated CV slowing seen during three tightly spaced extrastimuli. Recent voltage-clamp data demonstrating the effect of intracellular calcium on sodium current availability were incorporated and were required to reproduce large (>15 mV) elevations in take-off potential and progressive encroachment. Introducing clinically observed APD gradients into the model enabled us to replicate the dynamic response to PES in patients leading to conduction block and reentry formation for the positive, but not the negative, APD gradient. Finally, we modeled the dynamics of reentry and show that spiral waves follow a meandering trajectory with a period of ~180 ms. We conclude that our model reproduces a variety of electrophysiological behavior including the response to sequential premature stimuli and provides a basis for studies of the initiation of reentry in human ventricular tissue. NEW & NOTEWORTHY This work presents a new model of the action potential of the human which reproduces the complex dynamics during premature stimulation in patients.",Richard A. Gray; Michael R. Franz,2020,2020,American Journal of Physiology-Heart and Circulatory Physiology,10.1152/ajpheart.00557.2019,,https://doi.org/10.1152/ajpheart.00557.2019,journal-article,['crossref'],"['""world model"" physiology']",registered,world-model phrase absent from title and abstract,include,empirical,include_empirical,The in-vivo-data-based physiological model simulates responses to sequential stimulation and evaluates conduction block and reentry dynamics.,include,empirical,include_empirical,Adapts a cardiac action-potential dynamics model to in-vivo data and evaluates responses to stimulation.,exclude,not_applicable,hand_specified_ionic_model,post_adjudication_inclusion_qc,"The work develops a minimal ionic electrophysiology model by manually incorporating known current relationships and clinically observed gradients, then demonstrates simulated responses to stimulation. It is a hypothesis-driven hand-specified mechanistic model rather than a learned or data-fitted/adapted transition model under the frozen operational boundary.",exclude,not_applicable,hand_specified_ionic_model,"The work develops a minimal ionic electrophysiology model by manually incorporating known current relationships and clinically observed gradients, then demonstrates simulated responses to stimulation. It is a hypothesis-driven hand-specified mechanistic model rather than a learned or data-fitted/adapted transition model under the frozen operational boundary.","Publisher/PubMed abstract, model-development and results statements: a minimal ionic model incorporates voltage-clamp evidence and observed APD gradients to reproduce programmed-stimulation, conduction-block and reentry behavior. https://doi.org/10.1152/ajpheart.00557.2019",high
AUD-319773f66d63,phrase_absent_random,An analytical study of the dynamic behavior of Lotka-Volterra based models of COVID-19.,"COVID-19 has become a world wide pandemic since its first appearance at the end of the year 2019. Although some vaccines have already been announced, a new mutant version has been reported in UK. We certainly should be more careful and make further investigations to the virus spread and dynamics. This work investigates dynamics in Lotka-Volterra based Models of COVID-19. The proposed models involve fractional derivatives which provide more adequacy and realistic description of the natural phenomena arising from such models. Existence and boundedness of non-negative solution of the fractional model is proved. Local stability is also discussed based on Matignon's stability conditions. Numerical results show that the fractional parameter has effect on flattening the curves of the coexistence steady state. This interesting foundation might be used among the public health strategies to control the spread of COVID-19 and its mutated versions.","Mohammed WW, Aly ES, Matouk AE, Albosaily S, Elabbasy EM.",2021,2021-06-15,Results in Physics,10.1016/j.rinp.2021.104432,,https://europepmc.org/article/MED/34150484,article,"['europe_pmc', 'openalex']","['""world model"" patient', 'europe_pmc_core']",indexed,world-model phrase absent from title and abstract,exclude,empirical,no_learned_dynamics,The fractional epidemic equations are analytically specified rather than learned or adapted from medical data.,include,empirical,include_empirical,Adapts a Lotka-Volterra COVID-19 dynamics model and evaluates simulated trajectories numerically.,exclude,not_applicable,no_learned_dynamics,third_full_text_adjudication,The paper analyzes hand-specified integer- and fractional-order Lotka-Volterra equations. Stability proofs and numerical trajectories vary prescribed fractional parameters but do not learn or adapt transition dynamics from medical observations.,,,,,,
AUD-c95fd70c811f,phrase_absent_random,Russian Federation,,,2020,2020,World Tariff Profiles,10.30875/cb38ed69-en,,https://doi.org/10.30875/cb38ed69-en,book-chapter,['crossref'],"['""medical world model""']",registered,world-model phrase absent from title and abstract,exclude,not_applicable,wrong_domain,The country-chapter title provides no indication of a medical dynamics model.,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,wrong_domain,reviewer_consensus,A: This is a trade-policy country chapter unrelated to medical world models. B: This is a country tariff profile outside the medical-world-model domain.,,,,,,
AUD-b2d23387165b,medical_term_absent_random,Inside insight: decoding how insight emerges from competing world models,"When and how does insight emerge? We conceptualize insight as a sudden realization arising from restructuring a world model: an internal interpretation linking actions to outcomes. Yet these latent dynamics remain difficult to access, even with behavior and verbal report. Here we developed inside insight dynamics (IID), a machine-learning framework that estimates latent world-model dynamics from behavioral data. Using IID, we analyzed mouse behavior in indirect- and direct-rule tasks, each requiring a shift from an initial world model to a rule-consistent representation. IID inferred the “when” of insight-like shifts by estimating the timing of transitions between competing world models, and examined the “how” by comparing alternative learning processes underlying them. This analysis revealed distinct mechanisms of world-model learning: the indirect- and direct-rule tasks were better explained by gated learning and parallel learning, respectively. Thus, IID opens a route to quantifying latent insight dynamics from observable behavior alone.","Inutsuka K, Nishioka T, Macpherson T, Fujiwara M, Hikida T, Naoki H.",2026,2026-05-26,,10.64898/2026.05.21.726889,,https://europepmc.org/article/PPR/PPR1239229,,['europe_pmc'],['europe_pmc_core'],indexed,medical-domain term absent from title and abstract,exclude,empirical,wrong_domain,The mouse study models general insight learning rather than a medical or disease process.,include,empirical,include_empirical,Learns latent transitions between competing world models from mouse behavior and evaluates rule-shift dynamics.,exclude,not_applicable,wrong_domain,third_full_text_adjudication,"The learned latent transitions describe insight-like switching between task beliefs in mouse behavioral experiments. The modeled state and evaluation concern basic cognition, not disease, physiology, clinical care, biomedical intervention, or healthcare simulation.",,,,,,
