audit_id,stratum,title,abstract,authors,year,publication_date,venue,doi,arxiv_id,url,record_type,sources,query_labels,source_status,original_exclusion_reason,reviewer_a_decision,reviewer_a_corpus_type,reviewer_a_reason_code,reviewer_a_rationale,reviewer_b_decision,reviewer_b_corpus_type,reviewer_b_reason_code,reviewer_b_rationale,final_decision,final_corpus_type,final_reason_code,resolution_route,adjudication_rationale
AUD-c38374316b5f,phrase_absent_random,1042-P: Long-Term Complications after Add-on Treatment to Metformin—UK Real-World Progression in Diabetes (RAPIDS) Model,"Introduction & Objective: Policy makers must take a long view when deciding which treatments to reimburse. Clinical trials may not provide data for long-term complications, nor capture treatment duration or sequences observed in practice. In this study, we predict probabilities of complications for people initiating add-on treatment to metformin monotherapy with sulfonylureas (SU) vs. dipeptidyl peptidase-4 inhibitors (DPP4i) vs. sodium-glucose co-transporter-2 inhibitors (SGLT2i). Methods: We used data from the UK Clinical Practice Research Datalink (2011 to 2020) to find people with type 2 diabetes prescribed 2nd-line treatment with a SGLTi, DPP4i or SU. We used the US-based RAPIDS microsimulation model updated to reflect trial evidence and calibrated to the UK. We predicted counterfactual outcomes for the alternative second-line treatments for ‘real-world’ durations and subsequent treatment switching. From these predicted outcomes, we estimated between-treatment differences in the mean probabilities of MI, stroke, diabetic eye disease (DED), eGFR, end-stage renal disease (ESRD) or amputation (LEA) over 5 years. Results: Starting 2nd-line treatment with SGLTi compared to either SU or DPP4i reduced the predicted probability of long-term complications over 5 years. The probability of MI or stroke were similar across the 2nd-line treatments. For SGLTi, the model predicted an increase in the mean eGFR (mL/min/1.73m2) of 0.4 (95% CI 0.1, 0.7) vs SU, and of 0.6 (0.5, 0.7) vs DPP4i. Following starting SGLTi, the model predicted a reduced probability of ESRD of -0.0025 (-0.002,-0.003) vs SU and -0.0025 (-0.03,-0.02) vs DPP4i; for DED the corresponding reductions were -0.011 (-0.012,-0.01) vs. SU and -0.003 (-0.004, -0.002) vs DPP4i. SGLTi and DPP4i lowered LEA risk compared with SU. Conclusion: The RAPIDS-UK model, based on real-world treatment use, shows that 2nd-line therapy with SGLTi reduces the probability of complications up to 5 years compared to SU or DPP4i. Disclosure A.I. Adler: None. O. Carroll: None. P. Bidulka: None. A. Basu: None. R. Grieve: None. Funding NIHR",AMANDA I. ADLER; ORLAGH CARROLL; PATRICK BIDULKA; ANIRBAN BASU; RICHARD GRIEVE,2024,2024,Diabetes,10.2337/db24-1042-p,,https://doi.org/10.2337/db24-1042-p,journal-article,['crossref'],"['""world model"" treatment']",registered,world-model phrase absent from title and abstract,include,empirical,include_empirical,The calibrated diabetes microsimulation rolls outcomes forward under alternative treatment sequences and evaluates five-year counterfactual complications.,include,empirical,include_empirical,Uses an adapted microsimulation to project counterfactual five-year outcomes under alternative treatments.,include,empirical,include_empirical,reviewer_consensus,A: The calibrated clinical progression simulator directly compares future patient outcomes under alternative treatment actions. B: The complete conference record provides methods and numerical results for a calibrated disease-progression simulator evaluated across alternative treatment actions.
AUD-9afa5c092202,phrase_absent_random,Mozambique,,Ebby Elahi,2020,2020,World Tariff Profiles,10.30875/0d485d86-en,,https://doi.org/10.30875/0d485d86-en,book-chapter,['crossref'],"['""healthcare world model""', '""medical world model""']",registered,world-model phrase absent from title and abstract,exclude,not_applicable,wrong_domain,The country-chapter title provides no indication of a medical dynamics model.,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,wrong_domain,reviewer_consensus,A: This is a trade-policy country chapter unrelated to medical world models. B: This is a country tariff profile outside the medical-world-model domain.
AUD-36855051ce31,phrase_absent_random,Application of the woodchuck animal model for the treatment of hepatitis B virus-induced liver cancer,,Manasa Suresh; Stephan Menne,2021,2021,World Journal of Gastrointestinal Oncology,10.4251/wjgo.v13.i6.509,,https://doi.org/10.4251/wjgo.v13.i6.509,journal-article,['crossref'],"['""world model"" treatment']",registered,world-model phrase absent from title and abstract,exclude,empirical,no_learned_dynamics,The animal-model title does not indicate a learned computational transition or rollout model.,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,review_not_primary,third_full_text_adjudication,"This review concerns the woodchuck as an experimental animal model for HBV-associated liver cancer and preclinical treatment testing. It does not review learned medical world models, computational transition models, rollout evidence, or planning systems."
AUD-6121d25433ab,phrase_absent_random,The Impact of Low EHR-Continuity on Effect Estimates: Evidence from Two EHR-Medicare Linked Databases,,Yinzhu Jin; Angela Tong; Richard Wyss; Jie Yang; Kueiyu Lin,2025,2025,Clinical Epidemiology,10.2147/clep.s549772,,https://doi.org/10.2147/clep.s549772,journal-article,['crossref'],"['""world model"" EHR']",registered,world-model phrase absent from title and abstract,exclude,empirical,no_learned_dynamics,The title concerns data-continuity effects on estimates rather than learned temporal simulation.,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,no_learned_dynamics,third_full_text_adjudication,"The study stratifies linked EHR and claims cohorts by an EHR-continuity score and compares incidence and treatment-effect estimates. It does not learn or adapt patient-state transitions, generate future trajectories, or evaluate an action-conditioned simulator."
AUD-4ecfb438361f,phrase_absent_random,Guinea-Bissau,,,2020,2020,World Tariff Profiles,10.30875/27dabae1-en,,https://doi.org/10.30875/27dabae1-en,book-chapter,['crossref'],"['""medical world model""']",registered,world-model phrase absent from title and abstract,exclude,not_applicable,wrong_domain,The country-chapter title provides no indication of a medical dynamics model.,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,wrong_domain,reviewer_consensus,A: This is a trade-policy country chapter unrelated to medical world models. B: This is a country tariff profile outside the medical-world-model domain.
AUD-1c5d8413e95f,phrase_absent_random,The Gambia,,,2020,2020,World Tariff Profiles,10.30875/34c60994-en,,https://doi.org/10.30875/34c60994-en,book-chapter,['crossref'],"['""medical world model""']",registered,world-model phrase absent from title and abstract,exclude,not_applicable,wrong_domain,The country-chapter title provides no indication of a medical dynamics model.,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,wrong_domain,reviewer_consensus,A: This is a trade-policy country chapter unrelated to medical world models. B: This is a country tariff profile outside the medical-world-model domain.
AUD-a7cc87cf05d8,phrase_absent_random,Model Assessment,,,2026,2026,Healthcare Quality Measurement,10.1017/9781009648196.009,,https://doi.org/10.1017/9781009648196.009,book-chapter,['crossref'],"['""healthcare world model""']",registered,world-model phrase absent from title and abstract,uncertain,not_applicable,insufficient_abstract,"The generic title and missing abstract do not permit assessment of domain, dynamics, or evaluation.",uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,review_not_primary,third_full_text_adjudication,"The chapter addresses assessment and fit of conventional healthcare quality and hierarchical statistical models. Its primary topic is statistical model evaluation rather than medical world-model dynamics, simulation, or planning."
AUD-da73d883b73b,phrase_absent_random,An Extended Epidemic Model on Interconnected Networks for COVID-19 to Explore the Epidemic Dynamics,"COVID-19 has resulted in a public health global crisis. The pandemic control necessitates epidemic models that capture the trends and impacts on infectious individuals. Many exciting models can implement this but they lack practical interpretability. This study combines the epidemiological and network theories and proposes a framework with causal interpretability in response to this issue. This framework consists of an extended epidemic model in interconnected networks and a dynamic structure that has major human mobility. The networked causal analysis focuses on the stochastic processing mechanism. It highlights the social infectivity as the intervention estimator between the observable effect (the number of daily new cases) and unobservable causes (the number of infectious persons). According to an experiment on the dataset for Tokyo metropolitan areas, the computational results indicate the propagation features of the symptomatic and asymptomatic infectious persons. These new spatiotemporal findings can be beneficial for policy decision making.","Deng O, Tago K, Jin Q.",2021,2021-04-10,,,,https://europepmc.org/article/PPR/PPR343083,,['europe_pmc'],['europe_pmc_core'],indexed,world-model phrase absent from title and abstract,exclude,empirical,no_learned_dynamics,The proposed network epidemic equations are not described as learned or adapted state-transition dynamics.,include,empirical,include_empirical,Evaluates a dynamic epidemic model on Tokyo data and simulates intervention-relevant propagation.,include,empirical,include_empirical,reviewer_consensus,A: The study fits health-state transition dynamics to real observations and directly evaluates simulated epidemic trajectories against future data. B: The study combines data-adapted epidemic transitions with direct trajectory and simulator-fidelity evaluation on real COVID-19 observations.
AUD-2d381c43d614,phrase_absent_random,"Patient Data Privacy, Protected Health Information, and Ethics of Real-World Evidence",,Corinne S. Pillai; Eleanor E. Panico; Kelly H. Zou; Ewa Filipowska,2022,2022,Real-World Evidence in a Patient-Centric Digital Era,10.1201/9781003017523-3,,https://doi.org/10.1201/9781003017523-3,book-chapter,['crossref'],"['""patient world model""', '""world model"" patient']",registered,world-model phrase absent from title and abstract,exclude,review,review_not_primary,The chapter concerns privacy and ethics of evidence rather than medical world-model methods.,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,review_not_primary,third_full_text_adjudication,"The chapter focuses on patient-data privacy, protected health information, and ethics in real-world-evidence research. It is not a review of medical or biomedical world models and contains no eligible dynamics synthesis."
AUD-20aba72fa58e,phrase_absent_random,Indonesia,,,2020,2020,World Tariff Profiles,10.30875/38ed6617-en,,https://doi.org/10.30875/38ed6617-en,book-chapter,['crossref'],"['""medical world model""']",registered,world-model phrase absent from title and abstract,exclude,not_applicable,wrong_domain,The country-chapter title provides no indication of a medical dynamics model.,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,wrong_domain,reviewer_consensus,A: This is a trade-policy country chapter unrelated to medical world models. B: This is a country tariff profile outside the medical-world-model domain.
AUD-041c95e05141,phrase_absent_random,,,,2020,2020,World Journal of Nuclear Medicine,10.1055/s-012-53188,,https://doi.org/10.1055/s-012-53188,journal-issue,['crossref'],"['""world model"" medicine']",registered,world-model phrase absent from title and abstract,uncertain,not_applicable,insufficient_abstract,"Both title and abstract are absent, so eligibility cannot be assessed.",uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,no_primary_empirical_evaluation,third_full_text_adjudication,"The DOI is an issue-level record with no article title, authors, abstract, methods, or results. Blank issue metadata cannot identify an eligible primary study or review."
AUD-50a6df459488,phrase_absent_random,,,,2020,2020,World Journal of Nuclear Medicine,10.1055/s-012-53171,,https://doi.org/10.1055/s-012-53171,journal-issue,['crossref'],"['""world model"" medicine']",registered,world-model phrase absent from title and abstract,uncertain,not_applicable,insufficient_abstract,"Both title and abstract are absent, so eligibility cannot be assessed.",uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,no_primary_empirical_evaluation,third_full_text_adjudication,"The DOI is an issue-level record with no article title, authors, abstract, methods, or results. Blank issue metadata cannot identify an eligible primary study or review."
AUD-09ac7bfff329,phrase_absent_random,,,,2024,2024,Echocardiography,10.1111/echo.v41.5,,https://doi.org/10.1111/echo.v41.5,journal-issue,['crossref'],"['""world model"" echocardiography']",registered,world-model phrase absent from title and abstract,uncertain,not_applicable,insufficient_abstract,"Both title and abstract are absent, so eligibility cannot be assessed.",uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,no_primary_empirical_evaluation,third_full_text_adjudication,"The DOI identifies an Echocardiography journal issue rather than an article and supplies no title, authors, abstract, methods, or results. Blank issue metadata cannot be included."
AUD-06020daee0f4,phrase_absent_random,Prelims,,,2023,2023,World Healthcare Cooperatives: Challenges and Opportunities,10.1108/978-1-80455-774-720231013,,https://doi.org/10.1108/978-1-80455-774-720231013,other,['crossref'],"['""healthcare world model""']",registered,world-model phrase absent from title and abstract,exclude,not_applicable,no_primary_empirical_evaluation,The title denotes front matter rather than a primary empirical study.,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,no_primary_empirical_evaluation,reviewer_consensus,A: This record is book front matter and contains no primary empirical study or eligible review. B: The record is book preliminaries rather than a scholarly empirical study or eligible review.
AUD-1b17af3adfb3,phrase_absent_random,A model for human action potential dynamics in vivo,"Computational modeling based on experimental data remains an important component in cardiac electrophysiological research, especially because clinical data such as human action potential (AP) dynamics are scarce or limited by practical or ethical concerns. Such modeling has been used to develop and test a variety of mechanistic hypotheses, with the majority of these studies involving the rate dependence of AP duration (APD) including APD restitution and conduction velocity (CV). However, there is very little information regarding the complex dynamics at the boundary of repolarization (or refractoriness) and reexcitability. Here, we developed a “minimal” ionic model of the human AP, based on in vivo human monophasic AP (MAP) recordings obtained during clinical programmed electrical stimulation (PES) to address the progressive decrease in AP take-off potential (TOP) and associated CV slowing seen during three tightly spaced extrastimuli. Recent voltage-clamp data demonstrating the effect of intracellular calcium on sodium current availability were incorporated and were required to reproduce large (>15 mV) elevations in take-off potential and progressive encroachment. Introducing clinically observed APD gradients into the model enabled us to replicate the dynamic response to PES in patients leading to conduction block and reentry formation for the positive, but not the negative, APD gradient. Finally, we modeled the dynamics of reentry and show that spiral waves follow a meandering trajectory with a period of ~180 ms. We conclude that our model reproduces a variety of electrophysiological behavior including the response to sequential premature stimuli and provides a basis for studies of the initiation of reentry in human ventricular tissue. NEW & NOTEWORTHY This work presents a new model of the action potential of the human which reproduces the complex dynamics during premature stimulation in patients.",Richard A. Gray; Michael R. Franz,2020,2020,American Journal of Physiology-Heart and Circulatory Physiology,10.1152/ajpheart.00557.2019,,https://doi.org/10.1152/ajpheart.00557.2019,journal-article,['crossref'],"['""world model"" physiology']",registered,world-model phrase absent from title and abstract,include,empirical,include_empirical,The in-vivo-data-based physiological model simulates responses to sequential stimulation and evaluates conduction block and reentry dynamics.,include,empirical,include_empirical,Adapts a cardiac action-potential dynamics model to in-vivo data and evaluates responses to stimulation.,include,empirical,include_empirical,third_full_text_adjudication,"The ionic transition model is explicitly developed from in-vivo human action-potential recordings, incorporates voltage-clamp evidence and observed APD gradients, and is evaluated by reproducing future electrical responses to sequential stimulation, conduction block, reentry, and spiral-wave trajectories."
AUD-13ca47847a68,phrase_absent_random,DRIFT: Direct-Recursive Intervention-Conditioned Forecasting of ICU Physiological Trajectories,"Many time-series forecasts depend not only on prior observations but also on actions specified during the forecast period. In intensive care units (ICUs), future vital signs and laboratory values are influenced by treatments such as vasopressors. However, models that predict the full future sequence all at once make little use of these treatments, whereas autoregressive models can accumulate errors. We introduce DRIFT, a hybrid framework in which a direct model produces the primary forecast and a recursive, action-conditioned model contributes constrained corrections. We evaluate DRIFT on 6,046 admissions from MIMIC-IV and 8,345 admissions from eICU-CRD. Averaged across the 8-, 24-, and 48-hour forecast endpoints, DRIFT reduces mean absolute error for mean arterial pressure (MAP) by 0.673% relative to an action-conditioned Temporal Fusion Transformer (TFT-action) on MIMIC-IV and achieves the lowest corresponding error among the compared models on eICU-CRD. Although the overall accuracy improvement is modest, a MIMIC-IV audit restricted to windows in which the supplied treatment sequence was altered showed that DRIFT achieved lower observed-target MAP error than TFT-action at 8 and 24 hours. Treatment-sequence alteration increased DRIFT's MAP error by 0.21-0.26 mmHg more than it increased TFT-action's error, with prediction changes occurring primarily after the supplied paths diverged. In a separate robustness experiment, the MAP advantage persisted under three shared checkpoint-selection rules emphasizing overall endpoint error, MAP error, or both equally.",Weixin Liu; Juming Xiong; Congning Ni; Yanfan Zhu; Xingtao Lin; Bradley Malin; Zhijun Yin,2026,2026-07-28,arXiv (Cornell University),,2607.25864,https://arxiv.org/abs/2607.25864,preprint,['openalex'],"['""clinical world model""', '""medical world model""', '""world model"" EHR', '""world model"" physiology', '""world model"" treatment']",open-access,world-model phrase absent from title and abstract,include,empirical,include_empirical,The model forecasts multihorizon ICU physiology conditioned on supplied treatment sequences and tests altered interventions.,include,empirical,include_empirical,Learns action-conditioned ICU dynamics and evaluates multi-horizon treatment-sequence perturbations.,include,empirical,include_empirical,reviewer_consensus,A: The primary text learns intervention-conditioned patient dynamics and directly evaluates multihorizon forecasts and action sensitivity. B: The study learns intervention-conditioned recursive patient dynamics and directly evaluates multihorizon forecasts and treatment-path responsiveness on two ICU datasets.
AUD-319773f66d63,phrase_absent_random,An analytical study of the dynamic behavior of Lotka-Volterra based models of COVID-19.,"COVID-19 has become a world wide pandemic since its first appearance at the end of the year 2019. Although some vaccines have already been announced, a new mutant version has been reported in UK. We certainly should be more careful and make further investigations to the virus spread and dynamics. This work investigates dynamics in Lotka-Volterra based Models of COVID-19. The proposed models involve fractional derivatives which provide more adequacy and realistic description of the natural phenomena arising from such models. Existence and boundedness of non-negative solution of the fractional model is proved. Local stability is also discussed based on Matignon's stability conditions. Numerical results show that the fractional parameter has effect on flattening the curves of the coexistence steady state. This interesting foundation might be used among the public health strategies to control the spread of COVID-19 and its mutated versions.","Mohammed WW, Aly ES, Matouk AE, Albosaily S, Elabbasy EM.",2021,2021-06-15,Results in Physics,10.1016/j.rinp.2021.104432,,https://europepmc.org/article/MED/34150484,article,"['europe_pmc', 'openalex']","['""world model"" patient', 'europe_pmc_core']",indexed,world-model phrase absent from title and abstract,exclude,empirical,no_learned_dynamics,The fractional epidemic equations are analytically specified rather than learned or adapted from medical data.,include,empirical,include_empirical,Adapts a Lotka-Volterra COVID-19 dynamics model and evaluates simulated trajectories numerically.,exclude,not_applicable,no_learned_dynamics,third_full_text_adjudication,The paper analyzes hand-specified integer- and fractional-order Lotka-Volterra equations. Stability proofs and numerical trajectories vary prescribed fractional parameters but do not learn or adapt transition dynamics from medical observations.
AUD-c95fd70c811f,phrase_absent_random,Russian Federation,,,2020,2020,World Tariff Profiles,10.30875/cb38ed69-en,,https://doi.org/10.30875/cb38ed69-en,book-chapter,['crossref'],"['""medical world model""']",registered,world-model phrase absent from title and abstract,exclude,not_applicable,wrong_domain,The country-chapter title provides no indication of a medical dynamics model.,uncertain,not_applicable,insufficient_abstract,The missing or uninformative abstract is insufficient to assess learned dynamics and qualifying evaluation.,exclude,not_applicable,wrong_domain,reviewer_consensus,A: This is a trade-policy country chapter unrelated to medical world models. B: This is a country tariff profile outside the medical-world-model domain.
AUD-b2d23387165b,medical_term_absent_random,Inside insight: decoding how insight emerges from competing world models,"When and how does insight emerge? We conceptualize insight as a sudden realization arising from restructuring a world model: an internal interpretation linking actions to outcomes. Yet these latent dynamics remain difficult to access, even with behavior and verbal report. Here we developed inside insight dynamics (IID), a machine-learning framework that estimates latent world-model dynamics from behavioral data. Using IID, we analyzed mouse behavior in indirect- and direct-rule tasks, each requiring a shift from an initial world model to a rule-consistent representation. IID inferred the “when” of insight-like shifts by estimating the timing of transitions between competing world models, and examined the “how” by comparing alternative learning processes underlying them. This analysis revealed distinct mechanisms of world-model learning: the indirect- and direct-rule tasks were better explained by gated learning and parallel learning, respectively. Thus, IID opens a route to quantifying latent insight dynamics from observable behavior alone.","Inutsuka K, Nishioka T, Macpherson T, Fujiwara M, Hikida T, Naoki H.",2026,2026-05-26,,10.64898/2026.05.21.726889,,https://europepmc.org/article/PPR/PPR1239229,,['europe_pmc'],['europe_pmc_core'],indexed,medical-domain term absent from title and abstract,exclude,empirical,wrong_domain,The mouse study models general insight learning rather than a medical or disease process.,include,empirical,include_empirical,Learns latent transitions between competing world models from mouse behavior and evaluates rule-shift dynamics.,exclude,not_applicable,wrong_domain,third_full_text_adjudication,"The learned latent transitions describe insight-like switching between task beliefs in mouse behavioral experiments. The modeled state and evaluation concern basic cognition, not disease, physiology, clinical care, biomedical intervention, or healthcare simulation."
AUD-144e1a6e24b3,medical_term_absent_random,"What Makes a Virtual Cell a World Model? Three Gaps, Three Experiments, and a Roadmap","Abstract Virtual-cell research increasingly combines mechanistic simulators, single-cell foundation models, perturbation predictors, and multimodal integrators. Yet world-model terminology is often applied to systems that support substantially different capabilities. We introduce virtual cell world models (VCWMs) as a structured framework for evaluation rather than as settled nomenclature. The framework isolates three recurring gaps: representation is not dynamics, prediction is not intervention, and multimodality is not multiscale world modeling. Starting from a working definition of general world models, we formalize a VCWM as a maintained cellular state with biological and observational context, intervention-conditioned transition, and time-varying structure. We present three motivation experiments that provide empirical evidence for these gaps in current systems: foundation-model representations can improve present-state readouts without comparable future-fate signal; a perturbation predictor can forecast endpoints while failing state-space closure under iteration; and a multimodal model can learn cross-modal association without producing appreciable chromatin-to-RNA intervention effects. These results motivate three diagnostic axes—dynamics, intervention, and scale—each with its own L0–L3 capability ladder, and a staged roadmap from candidate VCWMs to multiscale, interactive systems.","Yu C, Zhou J, Tan C, Li SZ, Liu X, Zhang X, Zhang Z, Lei Z, Wang Z.",2026,2026-07-21,Research Square,10.21203/rs.3.rs-10404367/v1,,https://europepmc.org/article/PPR/PPR1282602,preprint,"['europe_pmc', 'openalex']","['""world model"" treatment', 'europe_pmc_core']",indexed,medical-domain term absent from title and abstract,include,empirical,include_empirical,"The biomedical framework includes three empirical experiments evaluating cellular representation, iterative dynamics, and intervention effects.",include,empirical,include_empirical,"Defines virtual-cell world models and reports experiments on dynamics, interventions, and multimodal effects.",include,review,include_review,reviewer_consensus,"A: Virtual-cell world models are the primary subject, with an explicit definition, evidence synthesis, capability tests, and research roadmap. B: Virtual-cell world models are the primary topic, and the full text supplies a definition, systematic synthesis, empirical diagnostics, capability taxonomy, and roadmap."
AUD-12eef56fc6be,medical_term_absent_random,Chreode: A Cell World Model for One-Step Temporal Dynamics and Perturbation Prediction,"Predicting how a cell will change its transcriptional state under a developmental signal or a genetic perturbation is the computational core of in-silico biology and the AI Virtual Cell program. Existing approaches either fit static control-to-treated maps that discard time, or solve multi-step ODE / Schrödinger-bridge problems on each dataset independently. We introduce Chreode, a one-step cell world model that predicts action-conditioned cell-state transitions through a structured residual transition operator. It shifts distributional evolution from inference time to training time, enabling single-pass generation while preserving a Waddington-inspired decomposition into downhill landscape flow, rotational in-tangent dynamics, and stochastic spread. The model is pretrained with a shared scVI encoder and a DiT-based dynamics backbone on a 2.4M-cell mouse embryonic atlas spanning 7 datasets. As a fine-tuning initialization, Chreode improves per-target Sinkhorn distance on Weinreb hematopoiesis and Veres islet differentiation over matched scratch models, PI-SDE, and PRESCIENT. As a transferable gene-state embedding for GEARS, the pretrained dynamics representation reduces shared-vocabulary DE20 mean squared error on Norman Perturb-seq from 0.2121 to 0.1858, a 12.4% relative improvement, without changing the GEARS training procedure. We interpret this transfer to perturbation prediction as evidence that pretrained developmental-trajectory dynamics encode differentiation primitives transferable to CRISPR-induced state shifts, since both involve cell-state transitions in a shared latent geometry. The pretrained backbone additionally produces zero-shot clonal fate scores on Weinreb that are competitive with strong dynamic-OT baselines.",Mufan Qiu; Genhui Zheng; Yinuo Xu; Ruichen Zhang; Ying Ding; Qi Long; Tianlong Chen,2026,2026-05-27,arXiv (Cornell University),,2605.28111,https://arxiv.org/abs/2605.28111,preprint,['openalex'],"['""world model"" clinical']",open-access,medical-domain term absent from title and abstract,include,empirical,include_empirical,The model learns action-conditioned cellular state transitions and evaluates temporal fate and perturbation prediction on biological datasets.,include,empirical,include_empirical,Learns action-conditioned cellular state transitions and evaluates developmental and perturbation predictions.,include,empirical,include_empirical,reviewer_consensus,"A: The study learns controlled cellular state transitions and directly evaluates future-state and perturbation prediction. B: Although it does not claim free rollout or planning, the paper explicitly models temporal and perturbation-conditioned dynamics and directly evaluates future cellular states and action response."
AUD-90cdc2ad73d0,publisher_policy_correction,Medical World Model: From Passive Prediction to Active Simulation in Medicine,"Clinical care is interventional. Physicians must decide how a patient's trajectory is likely to change under competing actions, not only estimate risk under the status quo. Most deployed medical artificial intelligence, however, remains optimized for classification or passive forecasting. We argue that the useful next abstraction is the medical world model, a learned system that represents patient state, models how that state evolves over time, accepts interventions such as drugs, doses, and procedures, and rolls trajectories forward under those interventions. Progress toward this goal is currently fragmented across digital twins, disease-trajectory models, surgical simulators, and generative electronic health record forecasting, with each community addressing a subset of the necessary ingredients. We organize the field with a capability ladder spanning representation, forecasting, single-arm projection, comparative treatment evaluation, and planning. Across imaging, physiology, longitudinal electronic health records, and surgical simulation, a consistent maturity pattern emerges. Representation and forecasting are widespread, narrow treatment-conditioned simulators are appearing, credible counterfactual comparison remains scarce, and validated treatment planners are absent. Once a model simulates what would happen under alternative treatments, causal validity becomes the binding constraint. Scaling data and generative modeling alone will not solve this. Credible medical world models also require explicit action definitions, causal design, and staged clinical validation with regulatory oversight. In this paper, the medical world model is a claims-to-evidence framework for simulation that can inform clinical decisions.","Saeed N, Hassan S, Khan S, Qazi MA, Maier-Hein KH, Khan S, Yaqub M.",2026,2026-04-30,Preprints.org,10.20944/preprints202604.2168.v1,,https://europepmc.org/article/PPR/PPR1186035,preprint,crossref;europe_pmc;openalex,"""medical world model"";""world model"" clinical;""world model"" medicine;""world model"" patient;""world model"" physiology;""world model"" treatment;europe_pmc_core",indexed,,include,review,include_review,"The paper centrally defines medical world models, organizes a capability taxonomy, and synthesizes evidence and translation requirements.",include,review,include_review,Medical world models are the primary topic and the paper provides a capability and evidence framework.,include,review,include_review,reviewer_consensus,"A: Medical world models are the central review topic, with explicit definitions, taxonomy, evidence mapping, and translation analysis. B: Medical world models are the explicit primary topic, and the paper provides a field definition, evidence synthesis, capability taxonomy, and clinical-translation analysis."
