candidate_id,title,field,reviewer_a,reviewer_b,adjudicated_value,adjudication_anchor,adjudication_notes
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,state,Individual latent neural state learned by a shallow piecewise-linear recurrent neural network; linear decoder maps latent state to 66-dimensional ROI-PC observations,Latent nonlinear neural state reconstructed by a shallow piecewise-linear recurrent neural network from 66 regional principal-component signals,Individual nonlinear latent neural state reconstructed by a shallow piecewise-linear recurrent neural network from 66 regional principal-component signals.,"Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for state: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,observation_decoder,Reconstructed fMRI trajectories; power spectra; functional connectivity; target-distribution likelihood and control energy,Linear decoder maps latent state to regional fMRI observations; target affective states represented by Gaussian-mixture distributions,A linear decoder maps latent state to 66-dimensional regional fMRI observations; affective target states are represented by Gaussian-mixture distributions.,"Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for observation_decoder: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,action,Additive state-dependent latent control restricted globally or to selected regions,"Additive, state-dependent control input, including controls restricted to individual brain regions",Additive state-dependent latent control restricted globally or to selected regions,"Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for action: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,action_provenance,Simulated model control; not an administered physiological stimulation,Simulated model-based control; not an administered human intervention,Simulated model control; not an administered physiological stimulation,"Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for action_provenance: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,transition_mechanism,Individual nonlinear latent state-space transition plus optimized feedback controller toward a Gaussian-mixture target,"Shallow piecewise-linear recurrent neural network learned separately for group/condition dynamics, coupled to an optimized state-feedback controller",Individual shallow piecewise-linear recurrent neural dynamics coupled to an optimized state-feedback controller toward a Gaussian-mixture target.,"Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for transition_mechanism: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,maximum_horizon,80 model steps for evaluation trajectories; approximately 120 seconds at TR 1.5 seconds,Control trajectories evaluated for 80 model steps; DSR train/test segments span 120/40 observed points per condition,"Main controlled trajectories run T=D+11 steps with D=10 (21 steps total, approximately 31.5 s at TR 1.5 s); D=5 is reported as a sensitivity analysis. The DSR train/test segments contain 120/40 observed points per condition.","Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.","Primary-source correction to both reviewers: 80 is the number of held-out initial states, not rollout steps; the main trajectory is T=D+11 with D=10, and D=5 is the reported horizon sensitivity."
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,rollout_regime,Free generative reconstruction and simulated closed-loop control from empirical initial states,Free-running controlled model simulation toward target distributions; no real closed-loop human experiment,Free generative reconstruction and simulated closed-loop control from empirical initial states,"Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for rollout_regime: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,capability_claim,Planning: optimize controls that move reconstructed brain dynamics between rest and sad-mood targets,Planning: optimized feedback controls are selected from learned dynamics to move between resting and sad-mood state distributions,Planning: optimize controls that move reconstructed brain dynamics between rest and sad-mood targets,"Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for capability_claim: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,baselines,Group and region comparisons; uncontrolled trajectories; no independent action-agnostic predictive model,Uncontrolled dynamics and region-restricted control solutions; rMDD versus healthy-control models; no separate action-agnostic learned baseline beyond zero control,"Uncontrolled (zero-control) dynamics, rMDD-versus-healthy-control models, and 11 region-restricted control solutions; no separate action-agnostic learned predictive model.","Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for baselines: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,state_fidelity_metrics,Power-spectrum Hellinger distance and empirical-versus-reconstructed functional-connectivity correlations,"Power-spectrum Hellinger distance (reported mean 0.22 ± 0.04), functional-connectivity cross-correlations, negative log likelihood, and target-distribution proximity","Held-out reconstruction, power-spectrum Hellinger distance, and empirical-versus-reconstructed functional-connectivity agreement.","Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for state_fidelity_metrics: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,transition_metrics,Test-sequence reconstruction plus target negative log likelihood and cumulative control energy over controlled trajectories,"Controlled trajectory convergence, target likelihood/proximity, and control energy; Lyapunov exponent reported for reconstructed dynamics (0.10 ± 0.02)","Target negative log likelihood over controlled trajectories, cumulative control energy, target convergence, and Lyapunov characterization of reconstructed dynamics.","Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for transition_metrics: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,rollout_stability,Target proximity and control energy over 80-step trajectories; no systematic multi-horizon drift or constraint-violation analysis,Sensitivity across control horizon/regularization and target convergence is shown; no explicit physiological-constraint or long-horizon drift-rate audit,"Target likelihood is traced over controlled trajectories and conclusions are stress-tested at D=5 versus D=10; no formal long-horizon drift, joint-state coherence, or physiological constraint-violation audit.","Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for rollout_stability: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,action_sensitivity,Region-restricted interventions and control-parameter sensitivity analyses; no real stimulation-response validation,Zero-control comparison and 11 region-specific control analyses; no empirical delivered-dose or randomized action perturbation,"Zero-control comparison, control restricted to each of 11 bilateral regions, and control-horizon/regularization sensitivity; no empirical stimulation-response validation.","Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for action_sensitivity: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,calibration_and_uncertainty,"NI: no predictive interval, reliability, ECE, or coverage assessment reported","Model/trajectory variability across five initializations is represented, but no reliability, ECE, calibration slope, or interval-coverage calibration is reported","Variation across independently initialized models is examined, but no reliability, ECE, calibration slope, predictive interval, or interval-coverage calibration is reported.","Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for calibration_and_uncertainty: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,external_validation,"No external, temporal, or institutional validation; authors identify single-dataset generalizability as a limitation","No frozen external, temporal, institutional, device, or population validation","No external, temporal, or institutional validation; authors identify single-dataset generalizability as a limitation","Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for external_validation: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,decision_utility,Simulated target attainment and energy quantify control feasibility; no clinician or patient decision outcome,Offline control energy and target-state reachability provide mechanistic utility; no clinician or patient decision outcome,Simulated target attainment and energy quantify control feasibility; no clinician or patient decision outcome,"Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for decision_utility: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,safety_evaluation,"No clinical hazard, physiological constraint, failure-recovery, or override evaluation","No explicit clinical hazard, adverse-state severity, override, recovery, or deployment monitoring test","No clinical hazard, physiological constraint, failure-recovery, or override evaluation","Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for safety_evaluation: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,statistical_analysis,"Mann-Whitney U tests, Pearson correlations, Benjamini-Hochberg FDR control, and IQR outlier handling",Group comparisons and associations are reported with inferential statistics; exact multiplicity coverage is only as documented in the article methods/results,"Mann-Whitney U tests, Pearson correlations, Benjamini-Hochberg FDR control, and IQR outlier handling","Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for statistical_analysis: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,causal_language,"Authors describe model-based causal intervention analyses and mechanistic insight, but interventions occur only in a learned latent model","Uses mechanistic and optimal-control language for simulated transitions, not an identified clinical treatment-effect claim","Authors describe model-based causal intervention analyses and mechanistic insight, but interventions occur only in a learned latent model","Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for causal_language: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,estimand,Model-specific individual controlled trajectory and target proximity; no identified real-world treatment-effect estimand,NA: simulated individual/group model trajectory under an optimized controller; no population treatment-effect estimand,Model-specific individual controlled trajectory and target proximity; no identified real-world treatment-effect estimand,"Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for estimand: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,confounding_strategy,No design-based or measured-confounder adjustment for real stimulation effects,NA: no observational treatment-effect estimation,NA: the study does not estimate a real stimulation treatment effect; simulated latent controls have no design-based confounding adjustment.,"Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for confounding_strategy: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,positivity_and_overlap,NI: overlap/support for latent controls was not evaluated,NA: simulated controls are not justified by treatment-support/overlap analysis,NI: overlap/support for latent controls was not evaluated,"Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for positivity_and_overlap: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,counterfactual_validation,Only internal model interventions and regional perturbations; no randomized or empirical counterfactual validation,Domain constraints and target-state convergence within a learned model only; no randomized or quasi-experimental counterfactual validation,Only internal model interventions and regional perturbations; no randomized or empirical counterfactual validation,"Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for counterfactual_validation: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,code_access,Public code and analysis repository: https://github.com/humml-lab/fmri-control; MIT license,Public repository reported at https://github.com/humml-lab/fmri-control,Public code and analysis repository: https://github.com/humml-lab/fmri-control; MIT license,"Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for code_access: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,weights_access,"Unclear: checkpoint-consuming scripts are present, but study-specific trained weights were not clearly released",Unclear: trained model weights were not confirmed as a separately reusable artifact,"Unclear: checkpoint-consuming scripts are present, but study-specific trained weights were not clearly released","Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for weights_access: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,data_access,Paper reports fully preprocessed data with the code; raw participant data access is governed by the original study,Fully preprocessed study data are reported in the public repository; raw-data access was not established,Paper reports fully preprocessed data with the code; raw participant data access is governed by the original study,"Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for data_access: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,preprocessing_reproducibility,"Detailed ROI, PCA, filtering, model-training, and control procedures; repository contains analysis notebooks",Public code and preprocessed arrays support substantial reproduction; scanner preprocessing from raw data is only partially reproducible from inspected materials,"Detailed ROI, PCA, filtering, model-training, and control procedures plus public analysis code/preprocessed arrays; reconstruction from raw scanner data is only partial.","Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for preprocessing_reproducibility: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,randomness,Five Xavier-initialized models per participant; best test loss selected; fixed random seeds not reported,Five Xavier-initialized models are trained; model-selection procedure and reported variation are described,Five Xavier-initialized models per participant; best test loss selected; fixed random seeds not reported,"Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for randomness: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,evidence_anchors,"PMC13370802 Methods: Participants, fMRI preprocessing, DSR training and closed-loop control; Results Figs. 2-6; Limitations; Data Availability. GitHub README identifies training, evaluation and control code.","Methods sections 'Data', 'Dynamical system reconstruction', and 'Control framework'; Results figures on reconstruction, regional controllability, control energy, and target proximity; Data Availability points to humml-lab/fmri-control","Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.","Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for evidence_anchors: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,appraisal_strengths,"Individual models, explicit held-out sequence evaluation, and direct closed-loop target/energy analyses","Direct neural-state and transition evaluation, genuinely free-running control trajectories, regional action sensitivity, and public code/preprocessed data","Individual models, held-out sequence reconstruction, free controlled trajectories, explicit zero-control/region perturbations, horizon sensitivity, and public code/preprocessed data.","Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for appraisal_strengths: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,appraisal_limitations,Test-set involvement in hyperparameter/model selection; one source cohort; abstract latent controls lack physiological dose/support and empirical intervention validation,"Small single-site cohort; final test segment participates in model selection; no external validation, formal calibration, real intervention, causal identification, or safety evaluation","Small single-site cohort; the final test segment participates in model selection; abstract latent controls lack a physiological dose mapping, empirical intervention validation, formal calibration, external validation, and hazard testing.","Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for appraisal_limitations: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
MWM-XD5F16C34AE,A Data-Driven Closed-Loop Control Approach to Drive Neural State Transitions for Mechanistic Insight.,source_status,full_text_inspected,Primary peer-reviewed full text inspected through Europe PMC full-text XML; repository availability checked independently,Primary peer-reviewed full text and supplementary captions inspected; official code/data repository checked.,"Human Brain Mapping PMCID PMC13370802: Methods 5.2-5.3 (DSR and control), Results Figs. 2-6, Supplementary Figs. S4 and S12, Limitations, and Data Availability; official humml-lab/fmri-control repository.",Primary-source adjudication for source_status: retained the publication-bounded value; NI/NA is used where the source does not support a stronger claim.
