audit_id,route,title,decision,corpus_type,reason_code,dynamics,evaluation,lineage,full_text_url,rationale,confidence
ALT-8803de121c39,fresh_alternate_public_search,[Digital twins in uro-oncology].,include,review,include_review,Synthesizes dynamic uro-oncology twins and tumor progression models,Reviews simulation and intervention use cases,Primary review or perspective record,https://doi.org/10.1007/s00120-026-02827-2,Synthesizes dynamic uro-oncology twins and tumor progression models; reviews simulation and intervention use cases.,high
ALT-99717b78a904,fresh_alternate_public_search,"AI-powered in silico twins: redefining precision medicine through simulation, personalization, and predictive healthcare.",include,review,include_review,Reviews AI-augmented patient twins and dynamic simulation architectures,Synthesizes treatment-response prediction and optimization uses,Primary review or perspective record,https://pmc.ncbi.nlm.nih.gov/articles/PMC12738446/,Reviews AI-augmented patient twins and dynamic simulation architectures; synthesizes treatment-response prediction and optimization uses.,high
ALT-f6449fe2d40f,fresh_alternate_public_search,AKI-twinX: explainable organ structured digital twin for sepsis AKI trajectory forecasting,include,empirical,include_empirical,Learns coupled renal and cardiovascular latent states,Tests AKI trajectories blood-pressure forecasts and vasopressor counterfactuals,Primary preprint record,https://doi.org/10.64898/2026.03.13.26346736,Learns coupled renal and cardiovascular latent states; tests AKI trajectories blood-pressure forecasts and vasopressor counterfactuals.,high
ALT-0e16f0063c94,fresh_alternate_public_search,AlzheimerODE: A Knowledge-Guided Generative Model for Alzheimer's Disease Progression,uncertain,uncertain,inaccessible_full_text,Indexed title indicates a generative Alzheimer ODE model,Primary methods and results were not stably accessible,Primary conference or chapter record,https://doi.org/10.1145/3770855.3818833,Indexed title indicates a generative Alzheimer ODE model; primary methods and results were not stably accessible.,low
ALT-eefa5c2463e3,fresh_alternate_public_search,An Open Source Patient Simulator for Design and Evaluation of Computer Based Multiple Drug Dosing Control for Anesthetic and Hemodynamic Variables,exclude,empirical,no_learned_dynamics,Uses a hand-specified anesthetic and hemodynamic patient simulator,Evaluates controllers without data-learned transition behavior,Primary journal article,https://doi.org/10.1109/access.2021.3049880,Uses a hand-specified anesthetic and hemodynamic patient simulator; evaluates controllers without data-learned transition behavior.,medium
ALT-7c951eb38f74,fresh_alternate_public_search,Anticipatory Healthcare Analytics: Inferring Latent Disease Dynamics from Noisy Clinical Observations,exclude,not_applicable,no_primary_empirical_evaluation,Proposes a conceptual latent-state healthcare analytics framework,Provides no defensible empirical dynamics evaluation,Primary journal article,https://doi.org/10.11648/j.jfmhc.20261201.11,Proposes a conceptual latent-state healthcare analytics framework; provides no defensible empirical dynamics evaluation.,high
ALT-6236c0921f50,fresh_alternate_public_search,Application of Hidden Markov Model to Identify Disease Progression Process in Medical Research,exclude,review,review_not_primary,Describes hidden Markov disease progression methodology,Does not report a separately extractable primary dynamics study,Primary review or perspective record,https://doi.org/10.18502/ijph.v49i6.3382,Describes hidden Markov disease progression methodology; does not report a separately extractable primary dynamics study.,medium
ALT-db944a487acf,fresh_alternate_public_search,ARE-GAN: Adaptive Regression and ROI-Enhanced Generative Adversarial Network for Alzheimer Disease Progression Prediction,include,empirical,include_empirical,Learns conditional future MRI progression with ARE-GAN,Compares generated scans and future disease-stage predictions,Primary journal article,https://doi.org/10.1007/s44196-025-01133-7,Learns conditional future MRI progression with ARE-GAN; compares generated scans and future disease-stage predictions.,high
ALT-7c5ab8c52279,fresh_alternate_public_search,"Artificial Intelligence, LLM-based generation of synthetic patients with Parkinson’s Disease: towards a digital twin paradigm for in silico studies",include,empirical,include_empirical,Fine-tunes an LLM to generate longitudinal Parkinson records,Tests trajectory fidelity and downstream in-silico trial utility,Primary journal article,https://doi.org/10.64898/2026.04.28.26351471,Fine-tunes an LLM to generate longitudinal Parkinson records; tests trajectory fidelity and downstream in-silico trial utility.,medium
ALT-4ebd98e25663,fresh_alternate_public_search,Automatic Interactive Evaluation for Large Language Models with State Aware Patient Simulator,include,empirical,include_empirical,Uses a learned state-aware patient dialogue simulator,Validates multi-turn action-conditioned clinical interactions,Primary preprint record,https://arxiv.org/html/2403.08495v3,Uses a learned state-aware patient dialogue simulator; validates multi-turn action-conditioned clinical interactions.,medium
ALT-6fb8e7370e1e,fresh_alternate_public_search,Autosomal Dominant Tubulointerstitial Kidney Disease Clinical Trial Simulator: Case Reports of Model-Informed Drug Development.,include,empirical,include_empirical,Fits genotype-specific eGFR progression from natural history data,Simulates trial arms endpoints and statistical power,Primary journal article,https://pmc.ncbi.nlm.nih.gov/articles/PMC13274743/,Fits genotype-specific eGFR progression from natural history data; simulates trial arms endpoints and statistical power.,high
ALT-1dfb4e7629f9,fresh_alternate_public_search,Brain Amyloid Plaque Levels Affect Clinical Progression in Alzheimer Disease: Assessment of Amyloid PET and Change in CDR-SB Utilizing Semi-Mechanistic Model.,include,empirical,include_empirical,Fits semi-mechanistic amyloid and cognition progression dynamics,Validates treatment-conditioned longitudinal CDR-SB simulations,Primary journal article,https://pmc.ncbi.nlm.nih.gov/articles/PMC12823306/,Fits semi-mechanistic amyloid and cognition progression dynamics; validates treatment-conditioned longitudinal CDR-SB simulations.,high
ALT-ea1902cbb70e,fresh_alternate_public_search,Brain Latent Progression: Individual-based spatiotemporal disease progression on 3D Brain MRIs via latent diffusion,include,empirical,include_empirical,Learns individual 3D MRI progression with latent diffusion,Compares generated follow-up scans with observed longitudinal MRI,Primary journal article,https://pmc.ncbi.nlm.nih.gov/articles/PMC12381938/,Learns individual 3D MRI progression with latent diffusion; compares generated follow-up scans with observed longitudinal MRI.,high
ALT-e86bc8b02c40,fresh_alternate_public_search,Building digital twins of the human immune system: toward a roadmap.,exclude,review,review_not_primary,Outlines a roadmap for immune digital twins,Does not substantially synthesize learned transition evaluations,Primary review or perspective record,https://pmc.ncbi.nlm.nih.gov/articles/PMC9122990/,Outlines a roadmap for immune digital twins; does not substantially synthesize learned transition evaluations.,high
ALT-d3411f7d184d,fresh_alternate_public_search,"CardamomOT: a mechanistic optimal transport-based framework for gene regulatory network inference, trajectory reconstruction and generative modeling",include,empirical,include_empirical,Calibrates gene-regulatory and protein trajectory dynamics,Validates reconstructed and generated cellular trajectories,Primary journal article,https://doi.org/10.64898/2026.03.31.715390,Calibrates gene-regulatory and protein trajectory dynamics; validates reconstructed and generated cellular trajectories.,high
ALT-b82bb2551356,fresh_alternate_public_search,Cardiovascular care with digital twin technology in the era of generative artificial intelligence.,include,review,include_review,Reviews cardiovascular twins using statistical and generative dynamics,Synthesizes prediction simulation and procedural planning evidence,Primary review or perspective record,https://pmc.ncbi.nlm.nih.gov/articles/PMC11638093/,Reviews cardiovascular twins using statistical and generative dynamics; synthesizes prediction simulation and procedural planning evidence.,high
ALT-1bbcf3252882,fresh_alternate_public_search,"CellPace: A temporal diffusion-forcing framework for simulation, interpolation and forecasting of single-cell dynamics",include,empirical,include_empirical,Learns continuous-time single-cell developmental dynamics,Tests simulation interpolation and future-stage forecasting,Primary preprint record,https://doi.org/10.64898/2026.02.25.707938,Learns continuous-time single-cell developmental dynamics; tests simulation interpolation and future-stage forecasting.,high
ALT-744dce1205a8,fresh_alternate_public_search,Challenges of Digital Twin in healthcare,exclude,review,review_not_primary,Surveys general healthcare digital-twin challenges,Learned medical dynamics are not a central evidence category,Primary review or perspective record,https://doi.org/10.1016/b978-0-32-399163-6.00009-3,Surveys general healthcare digital-twin challenges; learned medical dynamics are not a central evidence category.,high
ALT-238a1a830ea0,fresh_alternate_public_search,cLDM-ODE: A Multimodal Generative Framework for Uncertainty-Aware Forecasting of Alzheimer's Disease Progression,include,empirical,include_empirical,Learns multimodal latent ODE Alzheimer progression,Evaluates uncertain future biomarker and imaging trajectories,Primary journal article,https://doi.org/10.1016/j.irbm.2025.100926,Learns multimodal latent ODE Alzheimer progression; evaluates uncertain future biomarker and imaging trajectories.,medium
ALT-949bc7547612,fresh_alternate_public_search,Clinical-GAN: Trajectory Forecasting of Clinical Events using Transformer and Generative Adversarial Networks,include,empirical,include_empirical,Learns adversarial Transformer dynamics over clinical visits,Forecasts diagnosis procedure and medication codes at later visits,Primary journal article,https://doi.org/10.1016/j.artmed.2023.102507,Learns adversarial Transformer dynamics over clinical visits; forecasts diagnosis procedure and medication codes at later visits.,high
ALT-3062c794c4e1,fresh_alternate_public_search,Current progress of digital twin construction using medical imaging.,include,review,include_review,Reviews imaging-based construction of dynamic medical twins,Synthesizes simulation prediction and treatment-planning methods,Primary review or perspective record,https://pmc.ncbi.nlm.nih.gov/articles/PMC12370374/,Reviews imaging-based construction of dynamic medical twins; synthesizes simulation prediction and treatment-planning methods.,medium
ALT-531ffbb6add3,fresh_alternate_public_search,Data-driven discovery of digital twins in biomedical research.,include,review,include_review,Reviews 177 data-driven biomedical system-discovery methods,Centrally evaluates learned biological dynamic-twin approaches,Primary review or perspective record,https://pmc.ncbi.nlm.nih.gov/articles/PMC12890721/,Reviews 177 data-driven biomedical system-discovery methods; centrally evaluates learned biological dynamic-twin approaches.,high
ALT-61ae05403063,fresh_alternate_public_search,Data-driven Huntington's disease progression modelling and estimation of societal cost in the UK.,include,empirical,include_empirical,Fits continuous-time latent Huntington disease transitions,Simulates costs and hypothetical intervention trajectories,Primary journal article,https://pmc.ncbi.nlm.nih.gov/articles/PMC11576117/,Fits continuous-time latent Huntington disease transitions; simulates costs and hypothetical intervention trajectories.,high
ALT-57f713cb9c2e,fresh_alternate_public_search,Data-driven model discovery and model selection for noisy biological systems.,include,empirical,include_empirical,Learns missing biological dynamics with hybrid neural ODEs,Tests recovered models through simulated trajectories and real systems,Primary journal article,https://pmc.ncbi.nlm.nih.gov/articles/PMC11753677/,Learns missing biological dynamics with hybrid neural ODEs; tests recovered models through simulated trajectories and real systems.,high
ALT-66f6aefba9e2,fresh_alternate_public_search,Decomposing heterogeneity in disease progression speeds and pathways.,include,empirical,include_empirical,Learns patient-specific latent ALS pathways and speeds,Predicts future disease course from first-visit data,Primary journal article,https://pmc.ncbi.nlm.nih.gov/articles/PMC13388994/,Learns patient-specific latent ALS pathways and speeds; predicts future disease course from first-visit data.,high
ALT-cf60ad3588b1,fresh_alternate_public_search,Deep neural networks for endemic measles dynamics: Comparative analysis and integration with mechanistic models.,include,empirical,include_empirical,Learns spatial neural dynamics of endemic measles,Evaluates multi-horizon outbreak forecasts against observations,Primary journal article,https://pmc.ncbi.nlm.nih.gov/articles/PMC11620694/,Learns spatial neural dynamics of endemic measles; evaluates multi-horizon outbreak forecasts against observations.,high
ALT-50502bb290be,fresh_alternate_public_search,Deep recurrent model for individualized prediction of Alzheimer’s disease progression,include,empirical,include_empirical,Learns recurrent latent Alzheimer disease state,Evaluates individualized multi-timepoint progression forecasts,Primary journal article,https://doi.org/10.1016/j.neuroimage.2021.118143,Learns recurrent latent Alzheimer disease state; evaluates individualized multi-timepoint progression forecasts.,high
ALT-9a315a53cb0a,fresh_alternate_public_search,Design of high-performance digital twins to enhance magnetic resonance imaging patient positioning,exclude,empirical,no_learned_dynamics,Builds a geometric MRI positioning twin,Does not establish learned temporal medical-state transitions,Primary journal article,https://doi.org/10.1080/27525783.2026.2719041,Builds a geometric MRI positioning twin; does not establish learned temporal medical-state transitions.,medium
ALT-8b76200f7bab,fresh_alternate_public_search,Development and validation of a chronic kidney disease progression model using patient-level simulations.,include,empirical,include_empirical,Combines cohort-derived CKD risks in patient-level transitions,Validates simulated complications against internal and external cohorts,Primary journal article,https://pmc.ncbi.nlm.nih.gov/articles/PMC11494709/,Combines cohort-derived CKD risks in patient-level transitions; validates simulated complications against internal and external cohorts.,medium
ALT-872c15448450,fresh_alternate_public_search,Development of a model-based clinical trial simulation platform to optimize the design of clinical trials for Duchenne muscular dystrophy.,include,empirical,include_empirical,Fits longitudinal DMD functional progression models,Externally validates trajectories and clinical-trial simulations,Primary journal article,https://pmc.ncbi.nlm.nih.gov/articles/PMC8923721/,Fits longitudinal DMD functional progression models; externally validates trajectories and clinical-trial simulations.,high
ALT-d6d9b0f712ec,fresh_alternate_public_search,Development of a Novel Machine Learning Method for Estimation of Life-Long Chronic Disease Progression and Its Application to Type 2 Diabetes.,include,empirical,include_empirical,Learns lifetime diabetes biomarker progression from fragmented records,Tests reconstructed trajectories on synthetic and clinical data,Primary journal article,https://pmc.ncbi.nlm.nih.gov/articles/PMC12547360/,Learns lifetime diabetes biomarker progression from fragmented records; tests reconstructed trajectories on synthetic and clinical data.,medium
ALT-beb122ebb1f2,fresh_alternate_public_search,Development of the simulation-based German albuminuria screening model (S-GASM) for estimating the cost-effectiveness of albuminuria screening in Germany.,exclude,empirical,no_learned_dynamics,Uses an evidence-parameterized kidney screening simulator,Compares screening scenarios without fitted transition dynamics,Primary journal article,https://pmc.ncbi.nlm.nih.gov/articles/PMC8730388/,Uses an evidence-parameterized kidney screening simulator; compares screening scenarios without fitted transition dynamics.,medium
ALT-66d2637db7d6,fresh_alternate_public_search,Digital doppelgangers in psychiatry.,exclude,review,review_not_primary,Offers a conceptual psychiatry digital-doppelganger perspective,Does not synthesize evaluated learned patient simulators,Primary review or perspective record,https://pmc.ncbi.nlm.nih.gov/articles/PMC13396074/,Offers a conceptual psychiatry digital-doppelganger perspective; does not synthesize evaluated learned patient simulators.,high
ALT-d9b3b5b61cb1,fresh_alternate_public_search,Digital Representation of Patients as Medical Digital Twins: Data-Centric Viewpoint.,exclude,review,review_not_primary,Proposes a data architecture for patient representations,Does not review learned dynamic simulation evidence centrally,Primary review or perspective record,https://pmc.ncbi.nlm.nih.gov/articles/PMC11793832/,Proposes a data architecture for patient representations; does not review learned dynamic simulation evidence centrally.,high
ALT-1305c7353fe7,fresh_alternate_public_search,Digital twin brain simulator for real-time consciousness monitoring and virtual intervention using primate electrocorticogram data,include,empirical,include_empirical,Assimilates primate ECoG into recurrent latent brain dynamics,Tests real-time simulation and virtual anesthetic intervention,Primary journal article,https://pmc.ncbi.nlm.nih.gov/articles/PMC11811282/,Assimilates primate ECoG into recurrent latent brain dynamics; tests real-time simulation and virtual anesthetic intervention.,high
ALT-14a9bd382609,fresh_alternate_public_search,Digital Twin Brain Simulator: Harnessing Primate ECoG Data for Real-Time Consciousness Monitoring and Virtual Intervention,exclude,empirical,duplicate_publication,Reports the same ECoG digital-twin simulator as row 51,Superseded by the complete peer-reviewed article,Preprint superseded by row 51 journal article,https://www.biorxiv.org/content/10.1101/2024.05.17.594789v1,Reports the same ECoG digital-twin simulator as row 51; superseded by the complete peer-reviewed article.,high
ALT-8fec1f0f96e5,fresh_alternate_public_search,Digital Twin in Health Care,exclude,review,review_not_primary,Provides a general healthcare digital-twin chapter,Learned transition systems are not verifiably central,Primary review or perspective record,https://doi.org/10.1007/978-981-99-0252-1_10,Provides a general healthcare digital-twin chapter; learned transition systems are not verifiably central.,medium
ALT-f38cea90635e,fresh_alternate_public_search,Digital twin models for predicting venetoclax and azacitidine-induced neutropenia in patients with acute myeloid leukemia.,include,empirical,include_empirical,Fits patient-specific AML neutropenia dynamics under treatment,Tests toxicity forecasts and continuous model updating,Primary journal article,https://pmc.ncbi.nlm.nih.gov/articles/PMC12500890/,Fits patient-specific AML neutropenia dynamics under treatment; tests toxicity forecasts and continuous model updating.,high
ALT-648756a83407,fresh_alternate_public_search,Digital twin technology for better health,exclude,review,review_not_primary,Provides a broad digital-twin health overview,Does not centrally synthesize learned rollout systems,Primary review or perspective record,https://doi.org/10.1201/9781003498117-3,Provides a broad digital-twin health overview; does not centrally synthesize learned rollout systems.,medium
ALT-cd8ead69e7e8,fresh_alternate_public_search,Digital twins and digital models of the human circulatory system.,exclude,review,review_not_primary,Reviews circulatory digital models across mechanistic scales,Learned transition evaluation is not a central evidence category,Primary review or perspective record,https://pmc.ncbi.nlm.nih.gov/articles/PMC13256331/,Reviews circulatory digital models across mechanistic scales; learned transition evaluation is not a central evidence category.,medium
ALT-19924e20f5f0,fresh_alternate_public_search,Digital twins as global learning health and disease models for preventive and personalized medicine.,exclude,review,review_not_primary,Presents a broad vision for learning health digital twins,Does not substantially synthesize evaluated learned dynamics,Primary review or perspective record,https://pmc.ncbi.nlm.nih.gov/articles/PMC11806862/,Presents a broad vision for learning health digital twins; does not substantially synthesize evaluated learned dynamics.,medium
ALT-36f6d95f9f66,fresh_alternate_public_search,Digital Twins as the Implementation Layer of Precision Medicine in Pediatric Neurosurgery.,exclude,review,review_not_primary,Narratively outlines pediatric neurosurgery twin architecture,Evidence on learned dynamic simulators is not central,Primary review or perspective record,https://pmc.ncbi.nlm.nih.gov/articles/PMC13341213/,Narratively outlines pediatric neurosurgery twin architecture; evidence on learned dynamic simulators is not central.,high
ALT-386154555f3d,fresh_alternate_public_search,Digital Twins for Personalized Medicine Require Epidemiological Data and Mathematical Modeling: Viewpoint.,exclude,review,review_not_primary,Argues for epidemiological inputs to medical twins,Provides a viewpoint rather than a dynamics evidence synthesis,Primary review or perspective record,https://pmc.ncbi.nlm.nih.gov/articles/PMC12365566/,Argues for epidemiological inputs to medical twins; provides a viewpoint rather than a dynamics evidence synthesis.,high
ALT-5fbea853f1dc,fresh_alternate_public_search,"Digital Twins for Predictive, Preventive Personalized, and Participatory Treatment of Immune-Mediated Diseases.",exclude,review,review_not_primary,Discusses aspirational immune-mediated disease twins,Does not substantially review evaluated learned transition systems,Primary review or perspective record,https://doi.org/10.1161/atvbaha.122.318331,Discusses aspirational immune-mediated disease twins; does not substantially review evaluated learned transition systems.,medium
ALT-0c7ca3990ee0,fresh_alternate_public_search,"Digital Twins in Neurology Care: Evidence, Limitations, and a Path Forward.",include,review,include_review,Critically reviews dynamic twin-inspired systems across neurology,Synthesizes predictive evidence limitations and validation gaps,Primary review or perspective record,https://doi.org/10.31083/jin50563,Critically reviews dynamic twin-inspired systems across neurology; synthesizes predictive evidence limitations and validation gaps.,medium
ALT-b5ebc3599d50,fresh_alternate_public_search,"Digital twins in precision pharmacotherapy: emerging applications, challenges, and future directions.",include,review,include_review,Reviews PK-PD and adaptive twins for precision pharmacotherapy,Synthesizes treatment-response simulation and medication optimization,Primary review or perspective record,https://pmc.ncbi.nlm.nih.gov/articles/PMC13530433/,Reviews PK-PD and adaptive twins for precision pharmacotherapy; synthesizes treatment-response simulation and medication optimization.,high
ALT-1d78c0c833ef,fresh_alternate_public_search,Digital twins in urology: a vision for the future of urological practice.,exclude,review,review_not_primary,Presents a future-oriented urology digital-twin vision,Learned dynamic simulator evidence is not substantially synthesized,Primary review or perspective record,https://pmc.ncbi.nlm.nih.gov/articles/PMC12891402/,Presents a future-oriented urology digital-twin vision; learned dynamic simulator evidence is not substantially synthesized.,high
ALT-2ff62462ed4f,fresh_alternate_public_search,Digital Twins: From Personalised Medicine to Precision Public Health.,exclude,review,review_not_primary,Provides a general medicine and public-health twin overview,Learned medical transition systems are not central,Primary review or perspective record,https://pmc.ncbi.nlm.nih.gov/articles/PMC8401029/,Provides a general medicine and public-health twin overview; learned medical transition systems are not central.,high
ALT-6557539979ea,fresh_alternate_public_search,Digital-twin Healthcare: A Gateway to Future Medicine (Preprint),exclude,review,review_not_primary,Broadly reviews digital-twin healthcare opportunities,Does not centrally synthesize operational learned dynamics,Primary review or perspective record,https://doi.org/10.2196/preprints.36867,Broadly reviews digital-twin healthcare opportunities; does not centrally synthesize operational learned dynamics.,medium
ALT-f58f7b29b390,fresh_alternate_public_search,Disease Modeling and External Model Evaluation Through Clinical Data Sharing Platform for HR+/HER2- Breast Cancer.,include,empirical,include_empirical,Fits longitudinal tumor-growth and survival dynamics,Externally evaluates dose-group and survival predictions,Primary journal article,https://pmc.ncbi.nlm.nih.gov/articles/PMC12439286/,Fits longitudinal tumor-growth and survival dynamics; externally evaluates dose-group and survival predictions.,high
ALT-38a784f6d7ac,fresh_alternate_public_search,Disease progression simulation via generative AI: assessing the credibility of a conditional longitudinal autoencoder via a case study in Alzheimer’s Disease,uncertain,uncertain,inaccessible_full_text,Title indicates a conditional longitudinal Alzheimer simulator,Credibility methods and rollout results could not be verified,Primary conference or chapter record,https://doi.org/10.70534/sxwc6774,Title indicates a conditional longitudinal Alzheimer simulator; credibility methods and rollout results could not be verified.,low
ALT-d7f5daff27f0,fresh_alternate_public_search,DITTO: A Visual Digital Twin for Interventions and Temporal Treatment Outcomes in Head and Neck Cancer.,include,empirical,include_empirical,Learns sequential treatment-conditioned cancer outcome dynamics,Evaluates personalized toxicity and disease-outcome predictions,Primary journal article,https://pmc.ncbi.nlm.nih.gov/articles/PMC11879760/,Learns sequential treatment-conditioned cancer outcome dynamics; evaluates personalized toxicity and disease-outcome predictions.,high
ALT-436d568a61b6,fresh_alternate_public_search,"Drug Development Digital Twins for Drug Discovery, Testing and Repurposing: A Schema for Requirements and Development.",exclude,review,review_not_primary,Proposes requirements for drug-development digital twins,Does not report or substantially synthesize learned dynamics evaluations,Primary review or perspective record,https://pmc.ncbi.nlm.nih.gov/articles/PMC9351294/,Proposes requirements for drug-development digital twins; does not report or substantially synthesize learned dynamics evaluations.,high
